job_title,company_name,company_location,work_method,post_date,work_time
Master Data Analyst,SGS,"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Associate
Healthcare Research & Data Analyst (Biosimilars),Clarivate,"Barcelona, Catalonia, Spain",Hybrid,1 week ago,Full-time · Mid-Senior level
Power BI Consultant,K-LAGAN,"Tordera, Catalonia, Spain",Hybrid,5 days ago,Full-time · Entry level
Customer Insight Analyst (NPS),CHEP,"Madrid, Community of Madrid, Spain",On-site,2 weeks ago,Full-time · Associate
Digital Business- Business Analyst,Randstad Technologies España,"Tres Cantos, Community of Madrid, Spain",Remote,4 weeks ago,Full-time · Entry level
Consultor Business Intelligence – Power BI,Management Intelligence Consulting,"Barcelona, Catalonia, Spain",Hybrid,1 month ago,Full-time · Entry level
Tableau Consultant,Expleo Group,"Barcelona, Catalonia, Spain",On-site,2 weeks ago,Full-time · Associate
DATA & ANALYTICS Presales,Logicalis Spain,"Madrid, Community of Madrid, Spain",On-site,4 days ago,Full-time · Mid-Senior level
Consultor/a BI QlikSense,SEIDOR,Spain,Hybrid,1 week ago,Full-time · Mid-Senior level
Data Analyst,SDG Group España,"Santiago de Compostela, Galicia, Spain",Hybrid,3 weeks ago,Full-time · Mid-Senior level
Analista de datos,Santander,"Boadilla del Monte, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Mid-Senior level
Data Governance Analyst,Antolin,"Burgos, Castilla and Leon, Spain",Remote,1 day ago,Full-time · Mid-Senior level
Analysts BI-Big Data,NTT DATA,"Castilla and Leon, Spain",Hybrid,2 weeks ago,Full-time · Associate
Business Intelligence Consultant AWS,Ricoh España,"Madrid, Community of Madrid, Spain",Hybrid,18 hours ago,Full-time · Associate
Analista de Datos de Automoción (m/f/d),DEKRA España,"Madrid, Community of Madrid, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Senior Data Analyst,SNGULAR,Spain,Remote,6 days ago,Full-time · Mid-Senior level
Business Analyst,HP,"Sant Cugat del Vallès, Catalonia, Spain",On-site,2 weeks ago,Full-time · Mid-Senior level
Senior Business Intelligence Analyst,Astara,"Madrid, Community of Madrid, Spain",Hybrid,1 month ago,Full-time · Mid-Senior level
"consultor power BI- zamudio, vizcaya",Randstad España,"Zamudio, Basque Country, Spain",Remote,1 month ago,Full-time · Associate
Quantitative Analyst,Revolut,Spain,Remote,2 weeks ago,Full-time · Mid-Senior level
Data Analyst Sector Energético (Madrid/Barcelona) (8001),Naturgy,Greater Madrid Metropolitan Area,Remote,2 weeks ago,Full-time · Associate
